equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,defected and captured,destroyed,destroyed in a non-combat related incident,sunk
Tanks,T-54-3M,,the Soviet Union,2,,,,,,,1.0,,,,1.0,,
Tanks,T-54B,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,T-55A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,T-55A Obr. 1981,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,Unknown T-54/55,,the Soviet Union,6,,,,,,,2.0,,,,4.0,,
Tanks,T-62 Obr. 1967,,the Soviet Union,5,,,1.0,,,,,,,,4.0,,
Tanks,T-62 Obr. 1972,,the Soviet Union,2,1.0,,,,,,,,,,1.0,,
Tanks,T-62 Obr. 1975,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-62M,,the Soviet Union,137,2.0,,29.0,,,9.0,6.0,5.0,,,86.0,,
Tanks,T-62M Obr. 2022,,Russia,49,2.0,,1.0,,,2.0,1.0,,,,43.0,,
Tanks,T-62MV,,the Soviet Union,36,1.0,,9.0,,,1.0,2.0,1.0,,,22.0,,
Tanks,T-62MV Obr. 2022,,Russia,10,,,,,,1.0,1.0,,,,8.0,,
Tanks,Unknown T-62,,Russia,39,2.0,,,,,,3.0,,,,34.0,,
Tanks,T-64A,,the Soviet Union,3,,,,,,1.0,,,,,2.0,,
Tanks,T-64BV,,the Soviet Union,93,2.0,,2.0,,1.0,10.0,5.0,1.0,,,72.0,,
Tanks,T-64BVK,,the Soviet Union,2,,,,,,,,,,,2.0,,
Tanks,Unknown T-64,,the Soviet Union,1,,,,,,,,,,,1.0,,
Tanks,T-72 'Ural',,the Soviet Union,5,1.0,,,,,,1.0,,,,3.0,,
Tanks,T-72A,,the Soviet Union,47,1.0,,9.0,1.0,,1.0,6.0,,,,29.0,,
Tanks,T-72AV,,the Soviet Union,28,,,3.0,,,,2.0,1.0,,,22.0,,
Tanks,T-72B,,the Soviet Union,356,16.0,,58.0,3.0,,8.0,11.0,6.0,,,254.0,,
Tanks,T-72B Obr. 1989,,the Soviet Union,115,4.0,1.0,16.0,1.0,1.0,4.0,9.0,3.0,,,76.0,,
Tanks,T-72B Obr. 2022,,Russia,169,11.0,,1.0,,,3.0,27.0,,,,127.0,,
Tanks,T-72BA,,Russia,31,,,15.0,,,2.0,,,,,14.0,,
Tanks,T-72B3,,Russia,376,6.0,,66.0,2.0,,25.0,17.0,10.0,,,250.0,,
Tanks,T-72B3 Obr. 2014,,Russia,4,,,2.0,,,,,,,,2.0,,
Tanks,T-72B3 Obr. 2016,,Russia,295,4.0,3.0,94.0,,,6.0,4.0,12.0,,,172.0,,
Tanks,T-72B3 Obr. 2022,,Russia,100,1.0,,4.0,,,3.0,8.0,,,,84.0,,
Tanks,T-72B3 Obr. 2025,,Russia,1,,,,,,,,,,,1.0,,
Tanks,Unknown T-72,,Russia,209,8.0,,3.0,,,16.0,7.0,,,,175.0,,
Tanks,T-80B,,the Soviet Union,4,,,,,,,,,,,4.0,,
Tanks,T-80BV,,the Soviet Union,691,15.0,1.0,70.0,1.0,2.0,20.0,58.0,7.0,,,517.0,,
Tanks,T-80BV Obr. 2022,,Russia,108,1.0,,,,,,9.0,,,,98.0,,
Tanks,T-80BVK,,the Soviet Union,4,,,1.0,,,,,,,,3.0,,
Tanks,T-80U,,Russia,104,5.0,3.0,38.0,,2.0,1.0,1.0,5.0,,,49.0,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,,
Tanks,T-80UE-1,,Russia,8,,,4.0,,,,,,,,4.0,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,,1.0,,
Tanks,T-80BVM,,Russia,144,,,26.0,1.0,1.0,6.0,10.0,4.0,,,96.0,,
Tanks,T-80BVM Obr. 2022,,Russia,84,,,4.0,1.0,,,8.0,1.0,,,70.0,,
Tanks,Unknown T-80,,Russia,42,2.0,,2.0,,,2.0,4.0,,,,32.0,,
Tanks,T-90A,,Russia,43,1.0,1.0,10.0,1.0,,,2.0,,,,28.0,,
Tanks,T-90AK,,Russia,1,,,,1.0,,,,,,,,,
Tanks,T-90S,,Russia,11,,,1.0,,,,1.0,,,,9.0,,
Tanks,T-90M,,Russia,138,3.0,,7.0,,,16.0,26.0,,,,86.0,,
Tanks,Unknown tank,,Russia,539,27.0,,,,,20.0,44.0,,,,448.0,,
Armoured Fighting Vehicles,BMPT Terminator,,Russia,3,,,,,,2.0,,,,,1.0,,
Armoured Fighting Vehicles,BRM-1(K) reconnaissance vehicle,,the Soviet Union,46,1.0,,9.0,,,2.0,2.0,,,,32.0,,
Armoured Fighting Vehicles,BRM-1 675-sb3KDZ,,Russia,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BRM-1KM reconnaissance vehicle,,Russia,6,,,1.0,,,,,,,,5.0,,
Armoured Fighting Vehicles,BRM-1KM 675-sb3KDZ,,Russia,2,,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,6,,,2.0,,,,,,,,4.0,,
Armoured Fighting Vehicles,BRDM-2M/A,,Russia,5,,,,,,,,,,,5.0,,
Armoured Fighting Vehicles,BRDM-2MS,,Russia,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,4,,,2.0,,,,,,,,2.0,,
Armoured Fighting Vehicles,BRDM-2-based ZS-82 PsyOps vehicle,,the Soviet Union,2,,,1.0,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTR-80-based ZS-88 PsyOps vehicle,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BTR-80 with 57mm UB-32 unguided aircraft rocket pods,,the Soviet Union,1,,,,,,1.0,,,,,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,1388,49.0,,141.0,1.0,,18.0,28.0,6.0,,,1145.0,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,236,9.0,,90.0,,,,1.0,3.0,,,133.0,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,50,,,11.0,,,1.0,,,,,38.0,,
Armoured Fighting Vehicles,MT-LB With 14.5mm BPU-1 Turret,,the Soviet Union,5,,,,,,,,,,,5.0,,
Armoured Fighting Vehicles,MT-LB with 14.5mm 2M-7 naval gun mount,,the Soviet Union,1,,,1.0,,,,,,,,,,
Armoured Fighting Vehicles,MT-LB with AZP S-60 AA gun,,the Soviet Union,4,,,,,,,,,,,4.0,,
Armoured Fighting Vehicles,MT-LB with 100mm MT-12 anti-tank gun,,the Soviet Union,3,,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,MT-LB with 82-mm automatic mortar 2B9 Vasilek,,the Soviet Union,2,,,,,,1.0,,,,,1.0,,
Armoured Fighting Vehicles,MT-LB with 25mm 2M-3 naval gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LBVMK with ZU-23 AA gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LBVM(K) with 25mm 2M-3 naval gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,29,1.0,,3.0,,,,2.0,,,,23.0,,
Armoured Fighting Vehicles,MT-LBu with 57mm S-60,,the Soviet Union,2,,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,MT-LBu with 100mm MT-12 anti-tank gun,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,BMP-1 With 14.5mm BPU-1 Turret,,the Soviet Union,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,,Russia,1,,,,,,,,,,,1.0,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,4,,,1.0,,,,,2.0,,,1.0,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,3,,,,,,,,,,,3.0,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,12,,,,,,,,,,,12.0,,
Armoured Fighting Vehicles,BMM-80 ambulance,,the Soviet Union,2,,,,,,,,,,,2.0,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,347,12.0,,1.0,,,11.0,5.0,,,,318.0,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,937,22.0,,85.0,1.0,,28.0,70.0,9.0,,,722.0,,
Infantry Fighting Vehicles,BMP-1 675-sb3KDZ,,Russia,50,1.0,,,,,,5.0,,,,44.0,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,52,3.0,,5.0,1.0,,4.0,2.0,3.0,,,34.0,,
Infantry Fighting Vehicles,BMP-1AM 675-sb3KDZ,,Russia,55,,,1.0,,,,1.0,,,,53.0,,
Infantry Fighting Vehicles,BMP-1U 'Shkval',,Ukraine,4,,,,,,1.0,1.0,,,,2.0,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,1538,41.0,,219.0,1.0,,38.0,73.0,23.0,,,1143.0,,
Infantry Fighting Vehicles,BMP-2(K),with ZU-23 cannon,the Soviet Union,1,,,,,,,,,,,1.0,,
Infantry Fighting Vehicles,BMP-2D,,the Soviet Union,18,,,5.0,,,,,,,,13.0,,
Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,,Russia,427,8.0,,1.0,1.0,,3.0,35.0,1.0,,,378.0,,
Infantry Fighting Vehicles,BMP-2M Berezhok,,Russia,46,1.0,,7.0,,,2.0,2.0,1.0,,,33.0,,
Infantry Fighting Vehicles,BMP-2M 675-sb3KDZ,,Russia,28,,,,,,,2.0,,,,26.0,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,318,10.0,,,,,5.0,17.0,,,,286.0,,
Infantry Fighting Vehicles,Unknown BMP-1/2 675-sb3KDZ,,Russia,7,1.0,,,,,,,,,,6.0,,
Infantry Fighting Vehicles,BMP-3,,Russia,448,20.0,,49.0,,,21.0,19.0,5.0,,,334.0,,
Infantry Fighting Vehicles,BMP-3 Obr. 2020,,Russia,46,,,10.0,,,,3.0,3.0,,,30.0,,
Infantry Fighting Vehicles,BMP-3 688A-sb6-2KP,,Russia,236,10.0,,1.0,,,3.0,19.0,,,,203.0,,
Infantry Fighting Vehicles,BMP-3 4S24 NKDZ,,Russia,2,,,,,,,,,,,2.0,,
Infantry Fighting Vehicles,MT-LBM 6MB,,Russia,21,1.0,,2.0,,,2.0,,1.0,,,15.0,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,404,11.0,,50.0,,2.0,7.0,17.0,3.0,,,314.0,,
Infantry Fighting Vehicles,BMD-2,with RP-337VM1 jammer,the Soviet Union,2,,,1.0,,,,,,,,1.0,,
Infantry Fighting Vehicles,BMD-2,with RP-377VM1 jammer,the Soviet Union,1,,,1.0,,,,,,,,,,
Infantry Fighting Vehicles,BMD-4M,,Russia,172,5.0,,9.0,,,5.0,7.0,2.0,,,144.0,,
Infantry Fighting Vehicles,BMD-4M Obr. 2024,,Russia,4,,,,,,,,,,,4.0,,
Infantry Fighting Vehicles,Unknown BMP-3 or BMD-4M,,Russia,4,,,,,,,,,,,4.0,,
Infantry Fighting Vehicles,BTR-82A(M),,Russia,843,10.0,,112.0,,1.0,29.0,30.0,6.0,,,655.0,,
Infantry Fighting Vehicles,BTR-82AT,,Russia,362,7.0,,15.0,,,8.0,20.0,,,,312.0,,
Armoured Personnel Carriers,BTR-50,,the Soviet Union,7,,,,,,,1.0,,,,6.0,,
Armoured Personnel Carriers,BTR-50 with BPU-1 turret,,the Soviet Union,5,1.0,,,,,,1.0,,,,3.0,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,2,,,,,,1.0,,,,,1.0,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,20,,,1.0,,,1.0,,,,,18.0,,
Armoured Personnel Carriers,BTR-70M,,Russia,19,,,1.0,,,,,,,,18.0,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,282,12.0,,56.0,,,4.0,8.0,2.0,,,200.0,,
